,Unnamed: 0,product_name,product_price,Graphics_card,RAM,Display,Rating
0,0,MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,"₹1,20,99",Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,26 Ratings 
1,1,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹65,99",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,91 Ratings 
2,2,ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Lapto...,"₹29,99",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,126 Ratings 
3,3,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹35,99",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,"2,839 Ratings "
4,4,ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS T...,"₹38,99",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,89 Ratings 
5,5,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop,"₹42,99",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"1,002 Ratings "
6,6,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L...,"₹35,99",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"1,683 Ratings "
7,7,acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹52,99",Free upgrade to Windows 11 when available,Intel Core i5 Processor (10th Gen),512 GB SS,"12,050 Ratings "
8,8,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,"₹40,99",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,670 Ratings 
9,9,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹32,99",AMD Athlon Dual Core Processo,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,110 Ratings 
10,10,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,"₹34,99",AMD Ryzen 3 Dual Core Processo,8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"2,705 Ratings "
11,11,MSI GF63 Thin Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 ...,"₹53,99",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"1,161 Ratings "
12,12,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,"₹29,99",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,35.56 cm (14 inch) Display,"3,449 Ratings "
13,13,ASUS VivoBook 15 (2022) Celeron Quad Core - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin and L...,"₹27,99",Intel Celeron Quad Core Processo,4 GB DDR4 RAM,39.62 cm (15.6 inch) Display,37 Ratings 
14,14,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,"₹48,99",AMD Ryzen 5 Hexa Core Processo,8 GB DDR4 RAM,35.56 cm (14 inch) Display,479 Ratings 
15,15,ASUS TUF Dash F15 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeF...,"₹84,99",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,281 Ratings 
16,16,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹38,99",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,166 Ratings 
17,17,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop,"₹38,99",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,"1,169 Ratings "
18,18,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,"₹29,99",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,35.56 cm (14 inch) Display,"3,449 Ratings "
19,19,MSI GF63 Thin Hexa Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,"₹58,99",Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"2,881 Ratings "
20,20,ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Light...,"₹33,99",AMD Ryzen 3 Dual Core Processor (3rd Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,"3,188 Ratings "
21,21,ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB532WS Thi...,"₹55,99",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,35.56 cm (14 inch) Display,85 Ratings 
22,22,ASUS VivoBook Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin and Light Lapto...,"₹34,99",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,35.56 cm (14 Inch) Display,166 Ratings 
23,23,Lenovo IdeaPad Gaming 3i Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,"₹88,99",Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,8 Ratings 
